age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,salary
39.0,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,40.0,United-States,<=50K
50.0,Self-emp-not-inc,Bachelors,Married,Exec-managerial,Husband,White,Male,32.5,United-States,<=50K
38.0,Private,HS-grad,Others,Handlers-cleaners,Not-in-family,White,Male,40.0,United-States,<=50K
53.0,Private,School,Married,Handlers-cleaners,Husband,Black,Male,40.0,United-States,<=50K
28.0,Private,Bachelors,Married,Prof-specialty,Wife,Black,Female,40.0,Cuba,<=50K
37.0,Private,Masters,Married,Exec-managerial,Wife,White,Female,40.0,United-States,<=50K
49.0,Private,School,Others,Other-service,Not-in-family,Black,Female,32.5,Jamaica,<=50K
52.0,Self-emp-not-inc,HS-grad,Married,Exec-managerial,Husband,White,Male,45.0,United-States,>50K
31.0,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,50.0,United-States,>50K
42.0,Private,Bachelors,Married,Exec-managerial,Husband,White,Male,40.0,United-States,>50K
37.0,Private,Higher,Married,Exec-managerial,Husband,Black,Male,52.5,United-States,>50K
30.0,State-gov,Bachelors,Married,Prof-specialty,Husband,Asian-Pac-Islander,Male,40.0,India,>50K
23.0,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,32.5,United-States,<=50K
32.0,Private,Higher,Never-married,Sales,Not-in-family,Black,Male,50.0,United-States,<=50K
40.0,Private,Higher,Married,Craft-repair,Husband,Asian-Pac-Islander,Male,40.0,United-States,>50K
34.0,Private,School,Married,Transport-moving,Husband,Amer-Indian-Eskimo,Male,45.0,Mexico,<=50K
25.0,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,35.0,United-States,<=50K
32.0,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Male,40.0,United-States,<=50K
38.0,Private,School,Married,Sales,Husband,White,Male,50.0,United-States,<=50K
43.0,Self-emp-not-inc,Masters,Others,Exec-managerial,Unmarried,White,Female,45.0,United-States,>50K
40.0,Private,Doctorate,Married,Prof-specialty,Husband,White,Male,52.5,United-States,>50K
54.0,Private,HS-grad,Others,Other-service,Unmarried,Black,Female,32.5,United-States,<=50K
35.0,Federal-gov,School,Married,Farming-fishing,Husband,Black,Male,40.0,United-States,<=50K
43.0,Private,School,Married,Transport-moving,Husband,White,Male,40.0,United-States,<=50K
59.0,Private,HS-grad,Others,Tech-support,Unmarried,White,Female,40.0,United-States,<=50K
56.0,Local-gov,Bachelors,Married,Tech-support,Husband,White,Male,40.0,United-States,>50K
19.0,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,40.0,United-States,<=50K
54.0,Private,Higher,Married,Prof-specialty,Husband,Asian-Pac-Islander,Male,52.5,South,>50K
39.0,Private,HS-grad,Others,Exec-managerial,Not-in-family,White,Male,52.5,United-States,<=50K
49.0,Private,HS-grad,Married,Craft-repair,Husband,White,Male,40.0,United-States,<=50K
23.0,Local-gov,Higher,Never-married,Protective-serv,Not-in-family,White,Male,52.0,United-States,<=50K
20.0,Private,Higher,Never-married,Sales,Own-child,Black,Male,44.0,United-States,<=50K
45.0,Private,Bachelors,Others,Exec-managerial,Own-child,White,Male,40.0,United-States,<=50K
30.0,Federal-gov,Higher,Married,Adm-clerical,Own-child,White,Male,40.0,United-States,<=50K
22.0,State-gov,Higher,Married,Other-service,Husband,Black,Male,32.5,United-States,<=50K
48.0,Private,School,Never-married,Machine-op-inspct,Unmarried,White,Male,40.0,Puerto-Rico,<=50K
21.0,Private,Higher,Never-married,Machine-op-inspct,Own-child,White,Male,40.0,United-States,<=50K
19.0,Private,HS-grad,Married,Adm-clerical,Wife,White,Female,32.5,United-States,<=50K
31.0,Private,Higher,Married,Sales,Husband,White,Male,38.0,United-States,>50K
48.0,Self-emp-not-inc,Higher,Married,Prof-specialty,Husband,White,Male,40.0,United-States,<=50K
31.0,Private,School,Married,Machine-op-inspct,Husband,White,Male,43.0,United-States,<=50K
53.0,Self-emp-not-inc,Bachelors,Married,Prof-specialty,Husband,White,Male,40.0,United-States,<=50K
24.0,Private,Bachelors,Married,Tech-support,Husband,White,Male,50.0,United-States,<=50K
49.0,Private,HS-grad,Others,Adm-clerical,Unmarried,White,Female,40.0,United-States,<=50K
25.0,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,35.0,United-States,<=50K
57.0,Federal-gov,Bachelors,Married,Prof-specialty,Husband,Black,Male,40.0,United-States,>50K
53.0,Private,HS-grad,Married,Machine-op-inspct,Husband,White,Male,38.0,United-States,<=50K
44.0,Private,Masters,Others,Exec-managerial,Unmarried,White,Female,40.0,United-States,<=50K
41.0,State-gov,Higher,Married,Craft-repair,Husband,White,Male,40.0,United-States,<=50K
29.0,Private,Higher,Never-married,Prof-specialty,Not-in-family,White,Male,43.0,United-States,<=50K
25.0,Private,Higher,Married,Exec-managerial,Wife,Other,Female,40.0,United-States,<=50K
18.0,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,32.5,United-States,<=50K
47.0,Private,Higher,Married,Prof-specialty,Wife,White,Female,52.5,Honduras,>50K
50.0,Federal-gov,Bachelors,Others,Exec-managerial,Not-in-family,White,Male,52.5,United-States,>50K
47.0,Self-emp-inc,HS-grad,Others,Exec-managerial,Not-in-family,White,Male,52.5,United-States,<=50K
43.0,Private,Higher,Married,Tech-support,Husband,White,Male,40.0,United-States,>50K
46.0,Private,School,Married,Machine-op-inspct,Husband,White,Male,40.0,Mexico,<=50K
35.0,Private,Higher,Married,Other-service,Husband,White,Male,40.0,Puerto-Rico,<=50K
41.0,Private,HS-grad,Married,Adm-clerical,Husband,White,Male,48.0,United-States,<=50K
30.0,Private,HS-grad,Married,Machine-op-inspct,Husband,White,Male,40.0,United-States,<=50K
30.0,Private,Bachelors,Married,Sales,Husband,White,Male,40.0,United-States,<=50K
32.0,Private,School,Others,Prof-specialty,Not-in-family,White,Male,40.0,United-States,<=50K
48.0,Private,HS-grad,Married,Transport-moving,Husband,White,Male,40.0,United-States,<=50K
42.0,Private,Doctorate,Married,Prof-specialty,Husband,White,Male,45.0,United-States,>50K
29.0,Private,Higher,Others,Tech-support,Not-in-family,White,Male,52.5,United-States,<=50K
36.0,Private,HS-grad,Married,Craft-repair,Husband,White,Male,40.0,United-States,<=50K
28.0,Private,Higher,Others,Adm-clerical,Not-in-family,White,Female,40.0,United-States,<=50K
53.0,Private,HS-grad,Married,Adm-clerical,Wife,White,Female,40.0,United-States,>50K
49.0,Self-emp-inc,Higher,Married,Exec-managerial,Husband,White,Male,50.0,United-States,>50K
25.0,Private,Higher,Never-married,Prof-specialty,Own-child,White,Male,40.0,United-States,<=50K
19.0,Private,Higher,Never-married,Prof-specialty,Own-child,White,Male,32.5,United-States,<=50K
31.0,Private,Bachelors,Others,Sales,Own-child,Black,Female,40.0,United-States,<=50K
29.0,Self-emp-not-inc,Bachelors,Married,Sales,Husband,White,Male,52.5,United-States,>50K
23.0,Private,Higher,Never-married,Machine-op-inspct,Not-in-family,White,Male,40.0,United-States,<=50K
78.0,Private,Higher,Married,Prof-specialty,Other-relative,White,Male,32.5,United-States,<=50K
27.0,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,40.0,Mexico,<=50K
40.0,Private,Higher,Married,Adm-clerical,Husband,White,Male,40.0,United-States,<=50K
67.0,Private,School,Married,Prof-specialty,Husband,White,Male,32.5,United-States,<=50K
