age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,salary
39.0,6,0,1,0,1,4,1,40.0,38,<=50K
50.0,5,0,0,3,0,4,1,32.5,38,<=50K
38.0,3,2,2,5,1,4,1,40.0,38,<=50K
53.0,3,5,0,5,0,2,1,40.0,38,<=50K
28.0,3,0,0,9,5,2,0,40.0,4,<=50K
37.0,3,4,0,3,5,4,0,40.0,38,<=50K
49.0,3,5,2,7,1,2,0,32.5,22,<=50K
52.0,5,2,0,3,0,4,1,45.0,38,>50K
31.0,3,4,1,9,1,4,0,50.0,38,>50K
42.0,3,0,0,3,0,4,1,40.0,38,>50K
37.0,3,3,0,3,0,2,1,52.5,38,>50K
30.0,6,0,0,9,0,1,1,40.0,18,>50K
23.0,3,0,1,0,3,4,0,32.5,38,<=50K
32.0,3,3,1,11,1,2,1,50.0,38,<=50K
40.0,3,3,0,2,0,1,1,40.0,38,>50K
34.0,3,5,0,13,0,0,1,45.0,25,<=50K
25.0,5,2,1,4,3,4,1,35.0,38,<=50K
32.0,3,2,1,6,4,4,1,40.0,38,<=50K
38.0,3,5,0,11,0,4,1,50.0,38,<=50K
43.0,5,4,2,3,4,4,0,45.0,38,>50K
40.0,3,1,0,9,0,4,1,52.5,38,>50K
54.0,3,2,2,7,4,2,0,32.5,38,<=50K
35.0,0,5,0,4,0,2,1,40.0,38,<=50K
43.0,3,5,0,13,0,4,1,40.0,38,<=50K
59.0,3,2,2,12,4,4,0,40.0,38,<=50K
56.0,1,0,0,12,0,4,1,40.0,38,>50K
19.0,3,2,1,2,3,4,1,40.0,38,<=50K
54.0,3,3,0,9,0,1,1,52.5,34,>50K
39.0,3,2,2,3,1,4,1,52.5,38,<=50K
49.0,3,2,0,2,0,4,1,40.0,38,<=50K
23.0,1,3,1,10,1,4,1,52.0,38,<=50K
20.0,3,3,1,11,3,2,1,44.0,38,<=50K
45.0,3,0,2,3,3,4,1,40.0,38,<=50K
30.0,0,3,0,0,3,4,1,40.0,38,<=50K
22.0,6,3,0,7,0,2,1,32.5,38,<=50K
48.0,3,5,1,6,4,4,1,40.0,32,<=50K
21.0,3,3,1,6,3,4,1,40.0,38,<=50K
19.0,3,2,0,0,5,4,0,32.5,38,<=50K
31.0,3,3,0,11,0,4,1,38.0,38,>50K
48.0,5,3,0,9,0,4,1,40.0,38,<=50K
31.0,3,5,0,6,0,4,1,43.0,38,<=50K
53.0,5,0,0,9,0,4,1,40.0,38,<=50K
24.0,3,0,0,12,0,4,1,50.0,38,<=50K
49.0,3,2,2,0,4,4,0,40.0,38,<=50K
25.0,3,2,1,5,1,4,1,35.0,38,<=50K
57.0,0,0,0,9,0,2,1,40.0,38,>50K
53.0,3,2,0,6,0,4,1,38.0,38,<=50K
44.0,3,4,2,3,4,4,0,40.0,38,<=50K
41.0,6,3,0,2,0,4,1,40.0,38,<=50K
29.0,3,3,1,9,1,4,1,43.0,38,<=50K
25.0,3,3,0,3,5,3,0,40.0,38,<=50K
18.0,3,2,1,7,3,4,0,32.5,38,<=50K
47.0,3,3,0,9,5,4,0,52.5,15,>50K
